; Industry Codes
; CODE	DESCRIPTION
I80	FINANCIAL AND BUSINESS SERVICES
I800	FINANCIAL AND BUSINESS SERVICES
I8000	FINANCIAL AND BUSINESS SERVICES
I80000	FINANCIAL AND BUSINESS SERVICES
I81	BANKING AND FINANCIAL SERVICES
I810	BANKING AND FINANCIAL SERVICES
I8100	BANKING AND FINANCIAL SERVICES
I81000	BANKING AND FINANCIAL SERVICES
I814	BANKING SERVICES
I8140	BANKING SERVICES
I81400	BANKING SERVICES
I81401	CENTRAL BANKING AUTHORITIES
I81402	COMMERCIAL BANKING
I81403	SAVINGS BANKS
I815	BANKING AND FINANCIAL SERVICES
I8150	BANKING AND FINANCIAL SERVICES
I81501	NON-BANK CREDIT INSTITUTIONS
I8150103	MORTGAGE INSTITUTIONS
I8150106	DEVELOPMENT BANKS OR FUNDS
I8150108	CREDIT CARD ISSUERS
I815011	EXPORT-IMPORT FINANCING
I8150110	EXPORT-IMPORT FINANCING
I81502	TRUSTS, SECURITIES INVESTMENT
I8150203	VENTURE CAPITAL
I8150206	INVESTMENT TRUSTS
I8150211	UNIT TRUSTS AND MUTUAL FUNDS
I8150214	PENSION FUNDS
I8150216	PERSONAL EQUITY PLANS
I82	INSURANCE
I820	INSURANCE
I8200	INSURANCE
I82000	INSURANCE
I82001	COMPOSITE INSURANCE
I82002	LIFE INSURANCE
I82003	NON-LIFE INSURANCE
I8200316	MOTOR INSURANCE
I8200318	REINSURANCE
I83	BUSINESS SERVICES
I83000	TEMPORARY
I831	FINANCIAL SERVICES
I8310	FINANCIAL SERVICES
I83100	FINANCIAL SERVICES
I832	INSURANCE BROKERS AND AGENTS
I8320	INSURANCE BROKERS AND AGENTS
I83200	INSURANCE BROKERS AND AGENTS
I834	REAL ESTATE AGENTS
I8340	REAL ESTATE AGENTS
I83400	REAL ESTATE AGENTS
I835	LEGAL SERVICES
I8350	LEGAL SERVICES
I83500	LEGAL SERVICES
I836	ACCOUNTANCY AND AUDITING
I8360	ACCOUNTANCY AND AUDITING
I83600	ACCOUNTANCY AND AUDITING
I837	ARCHITECTS, SURVEYORS, ETC
I8370	ARCHITECTS, SURVEYORS, ETC
I83700	ARCHITECTS, SURVEYORS, ETC
I838	ADVERTISING AGENCIES
I8380	ADVERTISING AGENCIES
I83800	ADVERTISING AGENCIES
I839	BUSINESS SERVICES
I83900	TEMPORARY
I8394	COMPUTER SERVICES
I83940	COMPUTER SERVICES
I8394007	COMPUTER MAINTENANCE AND SUPPORT
I8395	BUSINESS SERVICES
I83951	MANAGEMENT CONSULTANTS
I83952	MARKET RESEARCH AND PUBLIC RELATIONS
I8395205	PUBLIC RELATIONS CONSULTANTS
I83953	DOCUMENT COPYING AND DUPLICATING
I83954	BUSINESS AND MEDIA SERVICES
I8395416	FINANCIAL AND CREDIT REPORTING
I8395419	FREE-LANCE JOURNALISTS
I8395448	SALES PROMOTION
I8395449	DIRECT MARKETING
I8395451	MEDIA PLANNING
I8396	DIVERSIFIED HOLDING COMPANIES
I83960	DIVERSIFIED HOLDING COMPANIES
I84	RENTING AND LEASING EQUIPMENT
I840	RENTING AND LEASING EQUIPMENT
I8400	RENTING AND LEASING EQUIPMENT
I84000	RENTING AND LEASING EQUIPMENT
I841	AGRICULTURAL EQUIPMENT HIRE
I8410	AGRICULTURAL EQUIPMENT HIRE
I84100	AGRICULTURAL EQUIPMENT HIRE
I842	CONSTRUCTION EQUIPMENT HIRE
I8420	CONSTRUCTION EQUIPMENT HIRE
I84200	CONSTRUCTION EQUIPMENT HIRE
I843	OFFICE EQUIPMENT HIRE
I8430	OFFICE EQUIPMENT HIRE
I84300	OFFICE EQUIPMENT HIRE
I846	CONSUMER GOODS HIRE
I8460	CONSUMER GOODS HIRE
I84600	CONSUMER GOODS HIRE
I848	RENTING AND LEASING EQUIPMENT
I8480	RENTING AND LEASING EQUIPMENT
I84800	TEMPORARY
I84801	AUTOMOBILE HIRE
I84802	LIGHT COMMERCIAL VEHICLE HIRE
I84803	COMMERCIAL VEHICLE HIRE
I84804	OTHER TRANSPORT EQUIPMENT HIRE
I8480401	AIRCRAFT HIRING AND LEASING
I848041	SHIP HIRING AND LEASING
I8480410	SHIP HIRING AND LEASING
I85	REAL ESTATE DEALING
I850	REAL ESTATE DEALING
I8500	REAL ESTATE DEALING
I85000	REAL ESTATE DEALING
I8500005	INDUSTRIAL REAL ESTATE DEALING
I8500011	RESIDENTIAL REAL ESTATE DEALING
I8500021	COMMERCIAL REAL ESTATE DEALING
I8500029	RETAIL REAL ESTATE DEALING
I8500031	RESIDENTIAL REAL ESTATE BUYING, SELLING
I9	SERVICES AND ENTERTAINMENT
I90	SERVICES AND ENTERTAINMENT
I900	SERVICES AND ENTERTAINMENT
I9000	SERVICES AND ENTERTAINMENT
I90000	SERVICES AND ENTERTAINMENT
I92	SERVICES AND ENTERTAINMENT
I921	SERVICES AND ENTERTAINMENT
I92100	TEMPORARY
I9211	REFUSE DISPOSAL
I92110	REFUSE DISPOSAL
I9212	SEWAGE DISPOSAL
I92120	SEWAGE DISPOSAL
I923	CLEANING SERVICES
I9230	CLEANING SERVICES
I92300	CLEANING SERVICES
I95	SERVICES AND ENTERTAINMENT
I951	HOSPITALS AND HEALTHCARE
I9510	HOSPITALS AND HEALTHCARE
I95100	HOSPITALS AND HEALTHCARE
I97	SERVICES AND ENTERTAINMENT
I971	FILM PRODUCTION AND DISTRIBUTION
I9710	FILM PRODUCTION AND DISTRIBUTION
I97100	FILM PRODUCTION AND DISTRIBUTION
I974	TELEVISION AND RADIO
I9740	TELEVISION AND RADIO
I97400	TELEVISION AND RADIO
I9741	TELEVISION AND RADIO
I97411	TELEVISION AND RADIO
I9741102	TELEVISION BROADCASTING
I9741105	RADIO BROADCASTING
I9741109	CABLE TELEVISION
I974111	SATELLITE TELEVISION
I9741110	SATELLITE TELEVISION
I9741112	TELEVISION PROGRAMME PRODUCTION
I97412	THEATRES AND LIVE ENTERTAINMENT VENUES
I979	SERVICES AND ENTERTAINMENT
I9791	SERVICES AND ENTERTAINMENT
I97911	SPORTING FACILITIES AND VENUES
I97912	BETTING AND GAMBLING
I98	LAUNDRIES AND DRY CLEANERS
I981	LAUNDRIES AND DRY CLEANERS
I9810	LAUNDRIES AND DRY CLEANERS
I98100	LAUNDRIES AND DRY CLEANERS
I9999	DUMMY CODE
I99999	DUMMY CODE

